id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initalSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
218757245,2026/04/01 03:23:00,2026/04/01 03:45:35,OANDA:XAUUSD,0,20.759999999999998,buy,4724.72,4713.268,4727.117,4747.815,8.73,8.73,closed,3,,4727.11748,0.21,0.21,1,10000,10020.76
218757799,2026/04/01 07:05:00,2026/04/01 08:09:15,OANDA:XAUUSD,0,20.380000000000003,buy,4737.785,4724.133,4740.589,4762.905,7.32,7.32,closed,3,,4740.58964,0.21,0.21,1,10000,10041.14
218758415,2026/04/01 08:32:00,2026/04/01 08:51:55,OANDA:XAUUSD,0,-100.19,buy,4743.145,4726.632,,4753.305,6.06,6.06,closed,3,,4726.6318,-1,0,1,10000,9940.95
218759463,2026/04/02 02:23:00,2026/04/02 02:50:25,OANDA:XAUUSD,0,-100.14,sell,4590.18,4605.288,,4580.655,6.62,6.62,closed,4,,4605.28725,-1,0,1,10000,9840.81
218760305,2026/04/02 06:31:00,2026/04/02 06:51:30,OANDA:XAUUSD,0,20.720000000000002,buy,4619.305,4613.163,4620.598,4631.55,16.28,16.28,closed,4,,4620.598,0.21,0.21,1,10000,9861.53
218760985,2026/04/02 08:09:00,2026/04/02 08:16:10,OANDA:XAUUSD,0,-100.22,sell,4603.105,4615.819,,4598.61,7.87,7.87,closed,4,,4615.8191,-1,0,1,10000,9761.31
218761792,2026/04/02 12:00:00,2026/04/02 12:07:10,OANDA:XAUUSD,0,-100.61,buy,4661.48,4658.21,,4668.63,30.58,30.58,closed,4,,4658.20989,-1,0,1,10000,9660.7
218763149,2026/04/06 04:00:00,2026/04/06 04:03:30,OANDA:XAUUSD,0,208.66,buy,4684.9,,4688.561,4858.215,57.31,57.31,closed,1,,4688.56097,,0,1,10000,9869.36
218766254,2026/04/06 04:12:00,2026/04/06 04:25:50,OANDA:XAUUSD,0,209.45999999999998,buy,4686.66,4682.348,4695.712,4706.875,23.19,23.19,closed,1,,4695.71218,2.1,2.1,1,10000,10078.82
218766779,2026/04/06 06:21:00,2026/04/06 07:46:50,OANDA:XAUUSD,0,-100.21000000000001,buy,4691.165,4682.612,,4696.92,11.69,11.69,closed,1,,4682.61239,-1,0,1,10000,9978.61
218768035,2026/04/06 08:14:00,2026/04/06 08:15:30,OANDA:XAUUSD,0,207.6,sell,4672.235,,4670.739,4607.63,140.65,140.65,closed,1,,4670.73902,,0,1,10000,10186.21
218767770,2026/04/06 08:09:10,2026/04/06 08:23:20,OANDA:XAUUSD,0,209.61,sell,4680.67,4689.537,4662.067,4659.655,11.28,11.28,closed,1,,4662.06716,2.1,2.1,1,10000,10395.82
218768659,2026/04/06 09:44:00,2026/04/06 10:00:00,OANDA:XAUUSD,0,-100.16,sell,4672.415,4682.332,,4661.77,10.08,10.08,closed,1,,4682.33167,-1,0,1,10000,10295.66
