id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initalSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
218380170,2026/03/25 03:37:00,2026/03/25 04:08:00,OANDA:XAUUSD,0,-100.22,sell,4545.255,4553.664,,4536.05,11.89,11.89,closed,3,,4553.66375,-1,0,1,10000,9899.78
218382884,2026/03/25 09:22:00,2026/03/25 09:29:20,OANDA:XAUUSD,0,-100.13,sell,4554.645,4567.462,,4551.465,7.8,7.8,closed,3,,4567.46167,-1,0,1,10000,9799.65
218557445,2026/03/26 02:45:40,2026/03/26 03:03:45,OANDA:XAUUSD,0,-100.22,sell,4449.305,4460.818,,4444.175,8.69,8.69,closed,4,,4460.81823,-1,0,1,10000,9699.43
218559302,2026/03/26 06:38:00,2026/03/26 06:50:35,OANDA:XAUUSD,0,-100.19000000000001,sell,4435.925,4447.112,,4423.62,8.94,8.94,closed,4,,4447.1118,-1,0,1,10000,9599.24
218559914,2026/03/26 08:11:15,2026/03/26 09:58:55,OANDA:XAUUSD,0,10.45,buy,4439.96,4415.03,4442.585,4479.895,4.01,4.01,closed,4,,4442.58594,0.11,0.11,1,10000,9609.69
218561247,2026/03/26 11:31:40,2026/03/27 01:30:25,OANDA:XAUUSD,0,209.25,buy,4446.87,,4451.234,4800.8,48.17,48.17,closed,4,,4451.23392,,0,1,10000,9818.94
218562121,2026/03/27 03:48:05,2026/03/27 03:54:50,OANDA:XAUUSD,0,-100.25,buy,4451.99,4444.328,,4453.3,13.05,13.05,closed,5,,4444.32793,-1,0,1,10000,9718.69
218564845,2026/03/27 05:41:00,2026/03/27 07:04:40,OANDA:XAUUSD,0,209.67000000000002,sell,4430.6,4440.509,4409.8,4404.58,10.09,10.09,closed,5,,4409.8002,2.1,2.1,1,10000,9928.36
218565602,2026/03/27 07:48:00,2026/03/27 08:16:05,OANDA:XAUUSD,0,-100.2,sell,4420.125,4429.272,,4412.89,10.93,10.93,closed,5,,4429.2723,-1,0,1,10000,9828.16
218566294,2026/03/27 09:13:00,2026/03/27 09:28:00,OANDA:XAUUSD,0,-100.22,buy,4431.02,4418.606,,4441.82,8.06,8.06,closed,5,,4418.60561,-1,0,1,10000,9727.94
