Date,Time_ET,Currency,Impact,Title
2010-01-01,08:30,USD,High,Non-Farm Employment Change
2010-01-13,08:30,USD,High,CPI m/m
2010-01-13,08:30,USD,High,Core CPI m/m
2010-01-28,08:30,USD,High,Core PCE Price Index m/m
2010-01-28,08:30,USD,High,Advance GDP q/q
2010-01-20,14:00,USD,High,FOMC Economic Projections
2010-01-20,14:00,USD,High,FOMC Statement
2010-01-20,14:00,USD,High,Federal Funds Rate
2010-01-20,14:30,USD,High,FOMC Press Conference
2010-02-05,08:30,USD,High,Non-Farm Employment Change
2010-02-15,08:30,USD,High,CPI m/m
2010-02-15,08:30,USD,High,Core CPI m/m
2010-02-26,08:30,USD,High,Core PCE Price Index m/m
2010-03-05,08:30,USD,High,Non-Farm Employment Change
2010-03-15,08:30,USD,High,CPI m/m
2010-03-15,08:30,USD,High,Core CPI m/m
2010-03-26,08:30,USD,High,Core PCE Price Index m/m
2010-03-24,14:00,USD,High,FOMC Economic Projections
2010-03-24,14:00,USD,High,FOMC Statement
2010-03-24,14:00,USD,High,Federal Funds Rate
2010-03-24,14:30,USD,High,FOMC Press Conference
2010-04-02,08:30,USD,High,Non-Farm Employment Change
2010-04-13,08:30,USD,High,CPI m/m
2010-04-13,08:30,USD,High,Core CPI m/m
2010-04-28,08:30,USD,High,Core PCE Price Index m/m
2010-04-28,08:30,USD,High,Advance GDP q/q
2010-05-07,08:30,USD,High,Non-Farm Employment Change
2010-05-13,08:30,USD,High,CPI m/m
2010-05-13,08:30,USD,High,Core CPI m/m
2010-05-28,08:30,USD,High,Core PCE Price Index m/m
2010-05-19,14:00,USD,High,FOMC Economic Projections
2010-05-19,14:00,USD,High,FOMC Statement
2010-05-19,14:00,USD,High,Federal Funds Rate
2010-05-19,14:30,USD,High,FOMC Press Conference
2010-06-04,08:30,USD,High,Non-Farm Employment Change
2010-06-14,08:30,USD,High,CPI m/m
2010-06-14,08:30,USD,High,Core CPI m/m
2010-06-28,08:30,USD,High,Core PCE Price Index m/m
2010-06-23,14:00,USD,High,FOMC Economic Projections
2010-06-23,14:00,USD,High,FOMC Statement
2010-06-23,14:00,USD,High,Federal Funds Rate
2010-06-23,14:30,USD,High,FOMC Press Conference
2010-07-02,08:30,USD,High,Non-Farm Employment Change
2010-07-13,08:30,USD,High,CPI m/m
2010-07-13,08:30,USD,High,Core CPI m/m
2010-07-28,08:30,USD,High,Core PCE Price Index m/m
2010-07-28,08:30,USD,High,Advance GDP q/q
2010-07-21,14:00,USD,High,FOMC Economic Projections
2010-07-21,14:00,USD,High,FOMC Statement
2010-07-21,14:00,USD,High,Federal Funds Rate
2010-07-21,14:30,USD,High,FOMC Press Conference
2010-08-06,08:30,USD,High,Non-Farm Employment Change
2010-08-13,08:30,USD,High,CPI m/m
2010-08-13,08:30,USD,High,Core CPI m/m
2010-08-27,08:30,USD,High,Core PCE Price Index m/m
2010-09-03,08:30,USD,High,Non-Farm Employment Change
2010-09-13,08:30,USD,High,CPI m/m
2010-09-13,08:30,USD,High,Core CPI m/m
